Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        1     0.00     0.00  MainPlayer::MainPlayer(QGLWidget const*, QWidget*, char const*, QHBox*, QHBox*, QHBox*, QHBox*, QHBox*)
  0.00      0.00     0.00        1     0.00     0.00  MainPlayer::~MainPlayer()
  0.00      0.00     0.00        1     0.00     0.00  MainEncoder::getModuleName()
  0.00      0.00     0.00        1     0.00     0.00  MainEncoder::createMenuItem(QPopupMenu*)
  0.00      0.00     0.00        1     0.00     0.00  MainEncoder::MainEncoder(QGLWidget const*, QWidget*, char const*, QHBox*, QHBox*, QHBox*, QHBox*)
  0.00      0.00     0.00        1     0.00     0.00  MainEncoder::~MainEncoder()
  0.00      0.00     0.00        1     0.00     0.00  QValueListPrivate<int>::QValueListPrivate(QValueListPrivate<int> const&)
  0.00      0.00     0.00        1     0.00     0.00  Jahshaka::setBasePath()
  0.00      0.00     0.00        1     0.00     0.00  Jahshaka::checkDualHead()
  0.00      0.00     0.00        1     0.00     0.00  Jahshaka::languageChange()
  0.00      0.00     0.00        1     0.00     0.00  Jahshaka::setupInterface(QWidget*)
  0.00      0.00     0.00        1     0.00     0.00  Jahshaka::checkJahExtensions()
  0.00      0.00     0.00        1     0.00     0.00  Jahshaka::sendchangeModeText(QString const&)
  0.00      0.00     0.00        1     0.00     0.00  Jahshaka::enableJahExtensions()
  0.00      0.00     0.00        1     0.00     0.00  Jahshaka::sendsetProgressValue(int)
  0.00      0.00     0.00        1     0.00     0.00  Jahshaka::storeGlobalPositionSize()
  0.00      0.00     0.00        1     0.00     0.00  Jahshaka::restoreGlobalPositionSize()
  0.00      0.00     0.00        1     0.00     0.00  Jahshaka::Jahshaka(QWidget*, char const*, unsigned int)
  0.00      0.00     0.00        1     0.00     0.00  Jahshaka::~Jahshaka()
  0.00      0.00     0.00        1     0.00     0.00  QValueList<int>::operator==(QValueList<int> const&) const
  0.00      0.00     0.00        1     0.00     0.00  void std::__uninitialized_fill_n_aux<void (GLPaint::**)(), unsigned int, void (GLPaint::*)()>(void (GLPaint::**)(), unsigned int, void (GLPaint::* const&)(), std::__false_type)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 4 byte(s) no time propagated

index % time    self  children    called     name
                0.00    0.00      33/974         __static_initialization_and_destruction_0(int, int) [528]
                0.00    0.00      33/974         __static_initialization_and_destruction_0(int, int) [540]
                0.00    0.00      33/974         __static_initialization_and_destruction_0(int, int) [545]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [165]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [431]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [433]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [437]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [440]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [443]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [461]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [173]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [465]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [174]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [175]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [521]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [522]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [179]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [180]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [527]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [529]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [530]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [531]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [532]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [533]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [535]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [536]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [537]
                0.00    0.00      35/974         __static_initialization_and_destruction_0(int, int) [538]
